RegionName,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Lansingburgh,90851.64444000369,97918.45051013473,114031.35673665791,129387.41373116203,142154.76090510032,144648.96158101008,139608.72111789804,136484.4488574874,130089.59415769934,117784.84982622186,115039.82145265127,113369.50181086047,114316.76593111892,116426.83488810681,117571.88824324102,126281.15728187398,131963.32420905717,141257.86282918544,158310.5689358108,177127.10450614372,182635.0918324143
South Troy,84326.39749236232,93602.12362666281,106216.14163387031,125615.10852961631,134824.49097915157,139951.76953272257,139032.2716578669,132928.03374653697,125712.57350192913,120470.0216559893,122533.10352876736,122915.89228065625,125080.59798775888,127622.91775425216,130589.7273220847,139136.19461687448,146727.92136741846,156072.88755427403,177988.5265819413,198818.72733251832,208347.20183579717
Eastside,102861.45560894051,110339.60086610679,125039.2204797811,143431.75988984786,157352.25111521268,161739.8619362314,164560.9145964446,163050.2041260832,155319.07215382956,152368.41824988046,152907.12474584673,157221.65284300962,160160.71423414326,160777.6435353559,164087.89400241882,171009.19097642045,176772.37372868173,185661.3671969944,209764.3039009675,234048.04502163283,243997.89475317704
The Hill,91148.7743254815,103362.99668533653,106725.78940036458,121841.0129911058,137033.12762746718,142164.05656053207,144871.75386531654,138670.04435527377,127802.7591414599,125828.81441329319,125352.76156235742,123611.37541089008,129554.16969133781,132490.14425985378,134118.44818793953,142282.42418120048,150021.49588495414,159865.27462985218,179721.54576859126,198226.81308160222,204572.64390909683
Downtown,125730.36693461753,138035.43683722682,157462.57888398573,183037.23845972357,200823.28206013123,217097.7058144318,226187.60558291795,226367.67961030794,210602.39802580923,207831.52369480612,207629.5655551138,203436.46107813402,207593.47713590364,214977.31959671236,226365.06466286755,249784.24291001182,262505.6813275854,267973.05220373743,307308.9076835138,344849.2405994157,360865.606638831
North Central,66515.3165227614,80419.42337347906,77586.71863110528,73257.58638074092,88936.93954228243,85741.48213374805,72495.79995559121,72128.9345695151,68433.08744479249,69181.26543530468,70107.00525533286,66719.52168944415,73877.24708176502,74272.37792918253,75973.41414227721,87282.43733739156,93365.2065847804,104074.42551384284,115513.33877096593,124326.06699536188,125572.76942010284
Frear Park,102601.43632402305,113181.52677590148,130240.65874798065,146456.76280023993,153670.04053502835,161359.25292059916,163734.41306381483,162118.06998598643,156012.11806983897,150580.35169309986,150322.89500804685,152023.52606247665,155811.95920487362,158224.02361138814,160495.94907678122,169339.07124387161,175869.63219590718,185684.25655041836,211173.15551677078,234276.49392092935,244879.46556223056
South Central,82462.53423729516,88067.09663338236,106477.90166045529,137791.0282059613,149182.6434014522,153631.9987193441,148587.2027691503,145650.6090237813,136763.07881122525,138177.72561295077,142836.41474146355,142249.9573146864,148500.92235512822,153284.10169285975,155682.71961453336,168963.50435879742,174214.83159168973,183050.6966316528,209358.69518028363,231076.82432615827,235189.1294131308
Sycaway,104255.40515016772,113176.10204487905,130393.99939670372,145676.89917338194,152940.39487840424,159118.66720598194,161604.06481043948,161042.69656068433,154595.33016150096,146748.24153420102,145909.83997805967,145121.9192094231,147448.27288106002,151184.65226095438,154112.28591222363,161084.1564531816,167932.60441655776,178424.0858714533,202493.37194601042,226503.46853027024,237475.72254534738
